message_type,occurence_timestamp,timeStampUTC,author,content,message,emoji,text_content
Chat Message,3:47:54,2026-01-24 11:13:19.250793,@dadandeniswara3541,"{'message': 'bismillah ', 'emoji': [], 'text_content': 'bismillah '}",bismillah ,[],bismillah 
Chat Message,3:47:54,2026-01-24 11:13:19.269191,@NothingYourKnow,"{'message': 'ayam ayam ae ', 'emoji': [], 'text_content': 'ayam ayam ae '}",ayam ayam ae ,[],ayam ayam ae 
Chat Message,3:47:54,2026-01-24 11:13:19.449882,@annafiflorance,"{'message': 'ya Allah ', 'emoji': [], 'text_content': 'ya Allah '}",ya Allah ,[],ya Allah 
Chat Message,3:47:54,2026-01-24 11:13:19.599318,@Why_D.Julian,"{'message': 'tahan liqued janga ae sampe menag ', 'emoji': [], 'text_content': 'tahan liqued janga ae sampe menag '}",tahan liqued janga ae sampe menag ,[],tahan liqued janga ae sampe menag 
Chat Message,3:47:54,2026-01-24 11:13:19.708846,@Kurniansyah1403,"{'message': 'ae kalah ', 'emoji': [], 'text_content': 'ae kalah '}",ae kalah ,[],ae kalah 
Chat Message,3:47:54,2026-01-24 11:13:19.844300,@InaAni-t4j,"{'message': 'plenger g bisa amaeeen ', 'emoji': [], 'text_content': 'plenger g bisa amaeeen '}",plenger g bisa amaeeen ,[],plenger g bisa amaeeen 
Chat Message,3:47:54,2026-01-24 11:13:19.849371,@yukaryu_uu,"{'message': 'AEYAM ', 'emoji': [], 'text_content': 'AEYAM '}",AEYAM ,[],AEYAM 
Chat Message,3:47:54,2026-01-24 11:13:19.892036,@rima9150,"{'message': 'pulang klen ae ', 'emoji': [], 'text_content': 'pulang klen ae '}",pulang klen ae ,[],pulang klen ae 
Chat Message,3:47:54,2026-01-24 11:13:19.876484,@RidoLeonardo-k5b,"{'message': 'HINA TERUSS BIAR PASIF GA AKTIF ', 'emoji': [], 'text_content': 'HINA TERUSS BIAR PASIF GA AKTIF '}",HINA TERUSS BIAR PASIF GA AKTIF ,[],HINA TERUSS BIAR PASIF GA AKTIF 
Chat Message,3:47:54,2026-01-24 11:13:19.939052,@Drainyx,"{'message': 'jangan nafsu ', 'emoji': [], 'text_content': 'jangan nafsu '}",jangan nafsu ,[],jangan nafsu 
Chat Message,3:47:55,2026-01-24 11:13:20.081406,@kimvani1417,"{'message': 'PH MENANGGG YUKKK ', 'emoji': [], 'text_content': 'PH MENANGGG YUKKK '}",PH MENANGGG YUKKK ,[],PH MENANGGG YUKKK 
Chat Message,3:47:55,2026-01-24 11:13:20.159332,@pray4shura,"{'message': 'JAGA ARFYNYAAAAA ', 'emoji': [], 'text_content': 'JAGA ARFYNYAAAAA '}",JAGA ARFYNYAAAAA ,[],JAGA ARFYNYAAAAA 
Chat Message,3:47:55,2026-01-24 11:13:20.170989,@dariustvchannel5156,"{'message': 'Kalo udah bgini mah AE menang sudah ni  ', 'emoji': [], 'text_content': 'Kalo udah bgini mah AE menang sudah ni  '}",Kalo udah bgini mah AE menang sudah ni  ,[],Kalo udah bgini mah AE menang sudah ni  
Chat Message,3:47:55,2026-01-24 11:13:20.258670,@BajuhitamPolos,"{'message': 'sabar2 ', 'emoji': [], 'text_content': 'sabar2 '}",sabar2 ,[],sabar2 
Chat Message,3:47:55,2026-01-24 11:13:20.540424,@ciocigaming7375,"{'message': 'AE JAGO ', 'emoji': [], 'text_content': 'AE JAGO '}",AE JAGO ,[],AE JAGO 
Chat Message,3:47:55,2026-01-24 11:13:20.815901,@fajarwahyudi9974,"{'message': 'JANGAN BARBAR ', 'emoji': [], 'text_content': 'JANGAN BARBAR '}",JANGAN BARBAR ,[],JANGAN BARBAR 
Chat Message,3:47:55,2026-01-24 11:13:20.845805,@jenai-l4u,"{'message': 'AE SABAR ', 'emoji': [], 'text_content': 'AE SABAR '}",AE SABAR ,[],AE SABAR 
Chat Message,3:47:56,2026-01-24 11:13:21.071423,@GeovanAlfaChristianSianturi,"{'message': 'dasar orang gak tau diri ', 'emoji': [], 'text_content': 'dasar orang gak tau diri '}",dasar orang gak tau diri ,[],dasar orang gak tau diri 
Chat Message,3:47:56,2026-01-24 11:13:21.283268,@faridr6298,"{'message': 'Harus 1 1  ', 'emoji': [], 'text_content': 'Harus 1 1  '}",Harus 1 1  ,[],Harus 1 1  
Chat Message,3:47:56,2026-01-24 11:13:21.242501,@FikriYlyasa,"{'message': 'Onic mana bisa kaya gini wkwk ', 'emoji': [], 'text_content': 'Onic mana bisa kaya gini wkwk '}",Onic mana bisa kaya gini wkwk ,[],Onic mana bisa kaya gini wkwk 
Chat Message,3:47:56,2026-01-24 11:13:21.278827,@zairapasyaljunghwan,"{'message': 'JANGAN DIPUJI DULU ', 'emoji': [], 'text_content': 'JANGAN DIPUJI DULU '}",JANGAN DIPUJI DULU ,[],JANGAN DIPUJI DULU 
